Id	Handle	Title as Cymraeg	Title as English	Subtitle as Cymraeg	Subtitle as English	Emojis	Tags	Email	Phone Global Prefix	Phone Local Prefix	Phone Base	Website URL	Facebook URL	Instagram URL	YouTube URL	TikTok URL	Twitter URL	Street	City/Town/Etc	District/County/Etc	Province/State/Etc	Postcode	Country Code	Latitude	Longitude
ccb5c39b902fec517c06c70402112cf6	aberystwytharts		Aberystwyth Arts Centre	Cynnes . Cyfeillgar . Cymreig	Warm . Welcoming . Welsh	🏫🎭🎥🎵📅			44	0		https://aberystwythartscentre.co.uk/	https://facebook.com/aberystwytharts	https://instagram.com/aberystwytharts				Aberystwyth University, Penglais Campus	Aberystwyth	Ceredigion	Wales	SY23 3DE	UK	52.4182746	-4.0638533
9443b91c1e80b1c181ab89ebfb611954	aberadventures		Aber Adventures	Ysgol syrffio a bwrdd padlo. Llogi offer gan gynnwys caiacau.	Surf and paddle board school. Equipment hire including kayaks.	🏞🚣🏄📅		hello@aberadventures.com	44	0	7976 061514	https://aberadventures.com	https://facebook.com/AberAdventures	https://instagram.com/aberadventures				High Street	Borth	Ceredigion	Wales	SY24 5LJ	UK	52.4811252	-4.0507077
c37759f24a446f00809e62c7e822209f	athrolounge		Athro Lounge	Cartref oddi cartref ✨ Fegan, heb glwten ac yn gyfeillgar i gŵn! 🐶🪴 Dewch i fwyta/yfed gyda ni i gael naws dda 🍔🥂	A home away from home ✨ Vegan, gluten-free & dog friendly! 🐶🪴 Come eat/drink with us for some good vibes 🍔🥂	💧🍅☕️🍽			44	0		https://thelounges.co.uk/athro/	https://facebook.com/athrolounge	https://instagram.com/athrolounge				Welsh school, Alexandra Rd	Aberystwyth	Ceredigion	Wales	SY23 1LF	UK	52.413959	-4.0827059
dec04403a3da85bb0f1b6b71dd6033c0	bankvaultaber		Bank Vault	Bar Cwrw Crefft a Lleoliad Cerddoriaeth Fyw	Craft Beer Bar & Live Music Venue	💧🍺🎵📅		bar@bankvault.cymru	44	0	1970 600220	https://bankvault.cymru/	https://facebook.com/BankVaultAber	https://instagram.com/bankvaultaber	https://www.youtube.com/channel/UC_UjXitBAcwmkKwxP1fDLlA			1 New St	Aberystwyth	Ceredigion	Wales	SY23 2AT	UK		
d51fa5440a618c1dd1ac5b0873966092	aberystwythcliffrailway	Rheilffordd Y Graig	Aberystwyth Cliff Railway	Y rheilffordd glogwyn halio drydan hiraf ym Mhrydain.	The longest electric funicular cliff railway in Britain.	🏞🛤🌄🌅		manager@aberystwythcliffrailway.co.uk	44	0	1970 617642	https://www.aberystwythcliffrailway.co.uk	https://facebook.com/profile.php?id=100070622643487	https://instagram.com/aberystwythcliffrailway				Cliff Railway House, Cliff Terrace	Aberystwyth	Ceredigion	Wales	SY23 2DN	UK	52.4233168	-4.0809941
844e235c15d09f445a857022e2b1350f	aber.ac.uk	Prifysgol Aberystwyth	Aberystwyth University	🏆 Prifysgol y Flwyddyn Cymru 2024 🎓 Dros 150 mlynedd o ragoriaeth academaidd 🌊 Lleoliad glan môr syfrdanol	🏆 Welsh University of the Year 2024 🎓 Over 150 years of academic excellence 🌊 Stunning seaside location	🎓			44	0	1970 622900	https://www.aber.ac.uk/	https://facebook.com/aberystwyth.university	https://instagram.com/aberystwyth.university/	https://www.youtube.com/user/aberystwythuni		https://twitter.com/AberUni		Aberystwyth	Ceredigion	Wales	SY23 2AX	UK		
198bd172ad931d1e7762cd29cce22c35	llgc.org.uk	Llyfrgell Genedlaethol Cymru	National Library of Wales	Llyfrgell i Gymru a’r Byd 🏴󠁧󠁢󠁷󠁬󠁳󠁿	A Library for Wales and the World 🏴󠁧󠁢󠁷󠁬󠁳󠁿	📖		post@llgc.org.uk	44	0	1970 632 800	https://www.library.wales/	https://facebook.com/llgcymrunlwales						Aberystwyth	Ceredigion	Wales	SY23 3BU	UK		
b308491c1173a82f17b34670759b2317	thebookshopbythesea	Y Siop Lyfrau Ger Y Môr	The Bookshop By The Sea	Croeso i Siop Lyfrau ger y Môr! 🌊📚☀️ | Aberystwyth ~ Cymru | Cymuned 📚Cysylltiad 📚Cydwybod | Digwyddiadau 📖 Gŵyl Farddoniaeth | ✨ Ar agor 6 diwrnod! Mawrth - Sul 11-5✨	Welcome to the Bookshop by the Sea! 🌊📚☀️ | Aberystwyth ~ Wales | Community 📚Connection 📚Conscience | Events 📖 Poetry Festival | ✨Open 6 days! Tues- Sun 11-5✨	🛍📚📅🎵		TheBookshopByTheSea@gmail.com	44	0	7756 358507	https://thebookshopbythesea.co.uk/	https://thebookshopbythesea.co.uk/	https://instagram.com/thebookshopbythesea_	https://www.youtube.com/@thebookshopbythesea			7 Market Street	Aberystwyth	Ceredigion	Wales	SY23 1DL	UK	52.4147866	-4.0854121
7318f4679d84cd2dcdb271f9e2dcffe3	theglengower		The Glengower	Tafarn draddodiadol ar lan y môr yn gweini peint cracio, bwydlen gartref flasus ac 16 ystafell wely i westeion.	A traditional seafront pub serving a cracking pint, a delicious homemade menu and 16 guest bedrooms.	🍅💧🍺☕️🍽🍖🛎		info@glengower.co.uk	44	0	1970 626191	https://glengower.co.uk/	https://facebook.com/theglengower	https://instagram.com/theglengower				3 Victoria Terrace Flat 3	Aberystwyth	Ceredigion	Wales	SY23 2DH	UK	52.4205621	-4.0842485
40b55956d44b65d1d2ee6771d105c7e2	rummersbar		Rummers	Cerddoriaeth Fyw | Pizzas ac Ochrau | Bar | Opsiynau Fegan | Opsiynau Heb Glwten | Coctels | Agored Tan Hwyr	Live Music | Pizzas & Sides | Bar | Vegan Options | Gluten Free Options | Cocktails | Open Till Late	🍅💧🍺🍷🍽🎵		info@rummerswinebar.co.uk	44	0	1970 625177	https://www.rummerswinebar.co.uk	https://facebook.com/rummersaber	https://instagram.com/rummers_bar				63 Bridge St	Aberystwyth	Ceredigion	Wales	SY23 1QD	UK	52.4120264	-4.085356
f20c42405acf7feac446de5c8b677b22	pierpressureaberystwyth		Pier Pressure	Clwb nos	Nightclub	🏫🪩🌃		pleasure@royalpier.co.uk	44	0				https://instagram.com/pierpressureaberystwyth					Aberystwyth	Ceredigion	Wales	SY23	UK		
6a35bc0120832092cdf32033a3b3f478	brocmor	Broc-Môr		Mae Broc-Môr yn siop fach gyda chalon fawr wedi'i lleoli yn Aberystwyth, Ceredigion, Cymru, DU. Wedi’i hysbrydoli gan y natur hardd sydd o’n cwmpas a diwylliant Cymru.	Broc-Môr is a small shop with big heart based in Aberystwyth, Ceredigion, Wales, UK. Inspired by the beautiful nature that surrounds us and Welsh culture.	🛍🎁💌🏴󠁧󠁢󠁷󠁬󠁳󠁿		locheryberith@googlemail.com	44	0	7813 159687	https://www.welshhomegifts.co.uk	https://facebook.com/brocmor	https://instagram.com/brocmor				3 Sgwar Owain Glyndwr	Aberystwyth	Ceredigion	Wales	SY23 2JH	UK	52.4150291	-4.0831015
8ec2e5e0c767bea0dafe6c55174e764f	yrhenorsafaberystwyth	Yr Hen Orsaf	JD Wetherspoon	Tafarn arobryn ger gorsaf drenau Aberystwyth.	Award-winning pub by the Aberystwyth train station.				44	0		https://www.jdwetherspoon.com/pubs/all-pubs/wales/ceredigion/yr-hen-orsaf-aberystwyth						St.James's Place Station Chambers, Alexandra Rd	Aberystwyth	Ceredigion	Wales	SY23 1LN	UK	52.4140638	-4.0817329
